218772	MR
13436	MR
15901	MR
14025	MR
18424	MR
21769	MR
17536	MR
18045	MR
13709	MR
58208	MR
23871	MR
11820	MR
217031	MR
21420	MR
14462	MR
21350	MR
81879	MR
52502	MR
14281	MR
54720	MR
56722	MR
107765	MR
68750	MR
77286	MR
17684	MR
22433	MR
67917	MR
13393	MR
11910	MR
20183	MR
15213	MR
29871	MR
21807	MR
56458	MR
102162	MR
75605	MR
55927	MR
195209	MR
12913	MR
18999	MR
12705	MR
211586	MR
83395	MR
60611	MR
16918	MR
74318	MR
104156	MR
320158	MR
329003	MR
22704	MR
22685	MR
14284	MR
19183	MR
110796	MR
58805	MR
12014	MR
68490	MR
23872	MR
21679	MR
12402	MR
14472	MR
23849	MR
193452	MR
227656	MR
18771	MR
16842	MR
16363	MR
18617	MR
20893	MR
17354	MR
22772	MR
246196	MR
100515	MR
353310	MR
22286	MR
66863	MR
58198	MR
239102	MR
231986	MR
20230	MR
15399	MR
103836	MR
72693	MR
26940	MR
11568	MR
228876	MR
210719	MR
68479	MR
217695	MR
17869	MR
243983	MR
21414	MR
73754	MR
50794	MR
242620	MR
18612	MR
22779	MR
12224	MR
17701	MR
52231	MR
71950	MR
50524	MR
16476	MR
50916	MR
81703	MR
80292	MR
65098	MR
22689	MR
15361	MR
231991	MR
13653	MR
19009	MR
18616	MR
14009	MR
245522	MR
54139	MR
14237	MR
215418	MR
19720	MR
142682	MR
68842	MR
22680	MR
18813	MR
232679	MR
11911	MR
97165	MR
71041	MR
101994	MR
13017	MR
70650	MR
77110	MR
76893	MR
213753	MR
104394	MR
14634	MR
23942	MR
12396	MR
22608	MR
18021	MR
15260	MR
228839	MR
269023	MR
17126	MR
22687	MR
21815	MR
233490	MR
269639	MR
56449	MR
15191	MR
21780	MR
242466	MR
74164	MR
277353	MR
17129	MR
106298	MR
16201	MR
217127	MR
20466	MR
104383	MR
18023	MR
18986	MR
116870	MR
332221	MR
18514	MR
14011	MR
228880	MR
76022	MR
214162	MR
67302	MR
68310	MR
433182	MR
20667	MR
21849	MR
58180	MR
244713	MR
93736	MR
18991	MR
106205	MR
66855	MR
217578	MR
16598	MR
15407	MR
26380	MR
17268	MR
20997	MR
14465	MR
18423	MR
22773	MR
13813	MR
22764	MR
21386	POS
20674	POS
12591	POS
99377	POS
14633	POS
17285	POS
20848	POS
16468	POS
20671	POS
14463	POS
16600	POS
11614	POS
13395	POS
18014	POS
15376	POS
18508	POS
13711	POS
22702	POS
107932	POS
14176	POS
14183	POS
15110	POS
16869	POS
17192	POS
17967	POS
19247	POS
19377	POS
20664	POS
21423	POS
21817	POS
